,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Set
3608,City Hotel,0,5,2016,July,31,29,0,1,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.0,0,0,Check-Out,2016-07-30,train
3609,City Hotel,0,125,2016,July,30,23,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,1,Check-Out,2016-07-27,train
3610,Resort Hotel,1,201,2016,March,12,19,2,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,37.54,0,1,Canceled,2015-09-01,train
3611,City Hotel,1,464,2016,October,44,28,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,391,Transient,65.0,0,0,Canceled,2016-09-20,train
3612,City Hotel,0,166,2016,June,26,19,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,100.3,0,1,Check-Out,2016-06-23,train
3613,City Hotel,0,62,2016,July,30,23,1,1,2,1.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,173.25,1,2,Check-Out,2016-07-25,train
3614,City Hotel,0,286,2017,March,13,30,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,86.9,0,1,Check-Out,2017-04-03,train
3615,City Hotel,1,128,2017,April,16,16,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,100.0,0,0,Canceled,2016-12-09,train
3616,City Hotel,1,179,2016,July,27,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,65.0,0,0,Canceled,2016-05-10,train
3617,City Hotel,1,114,2016,August,32,2,0,2,2,3.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,266.3,0,0,Canceled,2016-04-11,train
3618,City Hotel,0,162,2016,July,28,5,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,1,Check-Out,2016-07-09,train
3619,Resort Hotel,0,169,2016,March,14,31,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-03,train
3620,City Hotel,1,140,2015,December,53,29,0,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,70.0,0,0,Canceled,2015-10-19,train
3621,Resort Hotel,0,88,2017,March,10,11,2,5,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,2,No Deposit,177.0,,0,Transient-Party,34.0,0,0,Check-Out,2017-03-18,train
3622,Resort Hotel,1,119,2015,September,40,28,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,66.8,0,0,Canceled,2015-06-02,train
3623,Resort Hotel,0,285,2016,September,39,20,2,5,2,0.0,0,BB,IRL,Groups,TA/TO,0,0,0,A,A,1,No Deposit,96.0,,0,Transient,64.0,0,2,Check-Out,2016-09-27,train
3624,City Hotel,1,15,2017,February,7,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,95.0,0,0,Canceled,2017-02-02,train
3625,City Hotel,0,0,2015,August,33,13,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,146.0,0,1,Check-Out,2015-08-17,train
3626,City Hotel,0,17,2016,November,48,21,1,0,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,,,0,Transient,38.5,0,1,Check-Out,2016-11-22,train
3627,City Hotel,1,245,2016,July,28,6,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,110.0,0,0,Canceled,2016-02-23,train
3628,Resort Hotel,0,150,2016,February,8,19,2,5,1,0.0,0,BB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,23.93,0,0,Check-Out,2016-02-26,train
3629,City Hotel,0,348,2017,February,8,24,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,,0,Transient,90.1,0,2,Check-Out,2017-03-01,train
3630,Resort Hotel,1,89,2015,August,33,13,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,142.0,,0,Contract,107.2,0,2,Canceled,2015-08-11,train
3631,Resort Hotel,0,124,2016,August,34,16,2,10,2,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,36.0,,0,Transient,145.11,0,0,Check-Out,2016-08-28,train
3632,Resort Hotel,1,277,2016,June,25,12,2,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2016-03-29,train
3633,City Hotel,0,4,2017,February,6,10,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,108.0,0,0,Check-Out,2017-02-12,train
3634,City Hotel,1,6,2015,October,43,18,1,0,1,0.0,0,BB,FRA,Direct,Direct,0,1,0,A,A,0,No Deposit,,,0,Transient,95.0,0,1,Canceled,2015-10-15,train
3635,Resort Hotel,0,8,2015,July,28,5,4,5,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,H,H,1,No Deposit,240.0,,0,Transient,175.0,1,1,Check-Out,2015-07-14,train
3636,Resort Hotel,0,6,2015,December,49,1,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,12.0,0,Transient,35.0,0,0,Check-Out,2015-12-02,train
3637,Resort Hotel,0,1,2016,May,20,14,2,1,2,2.0,0,BB,LTU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,145.0,1,0,Check-Out,2016-05-17,train
3638,City Hotel,0,132,2015,July,30,23,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,90.0,0,0,Check-Out,2015-07-24,train
3639,City Hotel,0,152,2017,March,13,29,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,1,Check-Out,2017-04-01,train
3640,Resort Hotel,1,235,2015,November,47,20,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,58.32,0,0,Canceled,2015-09-02,train
3641,City Hotel,0,83,2015,December,51,17,0,0,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,0.0,0,1,Check-Out,2015-12-17,train
3642,Resort Hotel,0,18,2015,October,42,12,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,146.0,,0,Transient,40.0,1,0,Check-Out,2015-10-13,train
3643,City Hotel,1,36,2016,October,43,16,1,0,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2016-09-29,train
3644,Resort Hotel,0,202,2015,September,39,23,2,5,2,1.0,0,BB,CHE,Direct,Direct,0,0,0,A,C,0,No Deposit,250.0,,0,Transient,115.3,0,1,Check-Out,2015-09-30,train
3645,City Hotel,0,115,2016,March,12,18,0,2,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,70.0,0,0,Check-Out,2016-03-20,train
3646,City Hotel,0,1,2017,May,19,9,0,1,1,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,130.0,0,0,Check-Out,2017-05-10,train
3647,Resort Hotel,0,288,2015,September,36,2,1,4,2,0.0,0,BB,CZE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,110.7,0,0,Check-Out,2015-09-07,train
3648,City Hotel,0,79,2017,April,17,24,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.75,0,1,Check-Out,2017-04-28,train
3649,City Hotel,1,204,2016,May,19,5,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,34.0,,96,Transient,100.0,0,0,Canceled,2016-01-18,train
3650,City Hotel,0,102,2016,March,13,25,2,2,2,0.0,0,BB,POL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,58.0,0,0,Check-Out,2016-03-29,train
3651,City Hotel,0,83,2016,November,46,11,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,94.36,0,2,Check-Out,2016-11-16,train
3652,City Hotel,0,133,2017,April,16,19,0,4,2,0.0,0,BB,ISL,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,390.0,,0,Transient-Party,124.0,0,0,Check-Out,2017-04-23,train
3653,Resort Hotel,0,258,2017,July,26,1,2,6,2,0.0,0,HB,PRT,Online TA,TA/TO,1,0,1,A,A,2,No Deposit,240.0,,0,Transient,131.55,1,2,Check-Out,2017-07-09,train
3654,Resort Hotel,1,57,2016,December,52,23,2,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,56.0,0,4,Canceled,2016-11-30,train
3655,Resort Hotel,0,157,2016,October,45,30,2,5,2,0.0,0,BB,CMR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,40.03,0,1,Check-Out,2016-11-06,train
3656,City Hotel,0,60,2017,June,24,16,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.0,1,1,Check-Out,2017-06-18,train
3657,Resort Hotel,0,128,2016,December,49,3,0,1,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,64.0,0,1,Check-Out,2016-12-04,train
3658,Resort Hotel,0,31,2017,April,17,23,2,4,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,74.0,0,0,Check-Out,2017-04-29,train
3659,City Hotel,1,52,2017,May,21,27,2,2,1,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,198.0,0,0,Canceled,2017-04-07,train
3660,City Hotel,0,3,2017,February,6,11,0,1,2,1.0,0,HB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,42.0,,0,Transient,140.0,0,0,Check-Out,2017-02-12,train
3661,City Hotel,0,4,2016,May,22,28,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,161.0,0,1,Check-Out,2016-05-29,train
3662,City Hotel,0,99,2017,May,20,17,0,3,2,0.0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,89.1,0,0,Check-Out,2017-05-20,train
3663,City Hotel,0,172,2017,April,17,27,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,95.46,0,1,Check-Out,2017-04-30,train
3664,City Hotel,0,144,2016,September,39,23,2,3,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.6,0,2,Check-Out,2016-09-28,train
3665,City Hotel,1,50,2016,August,34,19,1,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,7.0,,0,Transient,242.9,0,0,Canceled,2016-06-30,train
3666,City Hotel,1,91,2017,May,19,11,0,3,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,174.0,0,0,Canceled,2017-02-10,train
3667,Resort Hotel,0,14,2016,March,12,14,1,3,1,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,196.0,,0,Transient,39.0,0,0,Check-Out,2016-03-18,train
3668,City Hotel,0,50,2016,September,37,10,1,1,2,0.0,0,BB,USA,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,145.8,0,2,Check-Out,2016-09-12,train
3669,City Hotel,1,601,2017,March,9,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,train
3670,Resort Hotel,1,148,2017,August,35,29,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,,0,Contract,135.0,0,0,No-Show,2017-08-29,train
3671,City Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,170.0,0,0,Canceled,2016-12-21,train
3672,City Hotel,0,1,2016,May,21,18,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,120.0,0,0,Check-Out,2016-05-19,train
3673,City Hotel,1,206,2017,April,17,28,0,2,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,130.5,0,3,Canceled,2016-10-27,train
3674,City Hotel,1,116,2016,September,40,30,0,2,2,2.0,0,BB,IRL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,216.45,0,0,Canceled,2016-07-09,train
3675,Resort Hotel,0,0,2017,May,20,15,1,0,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,47.0,0,0,Check-Out,2017-05-16,train
3676,City Hotel,0,137,2016,December,50,9,1,2,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,90.0,0,1,Check-Out,2016-12-12,train
3677,City Hotel,0,0,2015,December,49,3,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,148.0,0,Transient,79.0,0,0,Check-Out,2015-12-04,train
3678,Resort Hotel,0,98,2016,December,53,28,0,3,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,97.7,0,2,Check-Out,2016-12-31,train
3679,City Hotel,0,9,2016,September,37,7,0,1,2,0.0,0,BB,PRT,Complementary,Direct,1,0,3,B,B,0,No Deposit,45.0,,0,Transient,0.0,0,1,Check-Out,2016-09-08,train
3680,City Hotel,1,365,2016,July,28,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,train
3681,City Hotel,1,0,2016,December,50,6,0,0,0,0.0,0,SC,,Complementary,Corporate,0,0,0,P,P,0,No Deposit,,279.0,0,Transient,0.0,0,0,Canceled,2016-12-06,train
3682,Resort Hotel,1,243,2016,September,39,19,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,C,1,No Deposit,315.0,,0,Transient,77.85,0,0,Canceled,2016-03-16,train
3683,City Hotel,0,7,2017,April,17,28,1,2,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,1,Check-Out,2017-05-01,train
3684,Resort Hotel,0,26,2017,May,21,21,1,0,2,2.0,0,BB,IRL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,177.0,1,0,Check-Out,2017-05-22,train
3685,City Hotel,0,24,2016,December,50,8,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,86.0,,0,Transient,86.93,0,0,Check-Out,2016-12-11,train
3686,Resort Hotel,1,253,2015,September,37,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,,0,Transient,58.95,0,0,Canceled,2015-06-17,train
3687,City Hotel,1,309,2017,June,26,28,0,3,2,1.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.6,0,1,Canceled,2017-02-17,train
3688,Resort Hotel,1,78,2016,March,14,27,1,0,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,86.0,0,0,Canceled,2016-02-03,train
3689,City Hotel,0,5,2017,July,31,31,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2017-08-02,train
3690,Resort Hotel,0,2,2016,April,17,20,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,195.0,0,Transient,42.0,0,0,Check-Out,2016-04-21,train
3691,City Hotel,0,46,2015,August,34,17,1,1,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-08-19,train
3692,City Hotel,0,184,2017,July,29,20,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,114.9,0,1,Check-Out,2017-07-23,train
3693,City Hotel,0,47,2015,August,34,18,0,2,1,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,19.0,,0,Transient-Party,100.0,0,1,Check-Out,2015-08-20,train
3694,Resort Hotel,0,3,2015,October,43,19,1,4,1,0.0,0,HB,ESP,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,58.4,0,0,Check-Out,2015-10-24,train
3695,City Hotel,1,67,2016,October,43,17,1,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,34.0,,0,Transient,115.0,0,0,Canceled,2016-09-27,train
3696,Resort Hotel,0,134,2017,March,10,9,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241.0,,0,Transient,48.43,0,2,Check-Out,2017-03-14,train
3697,City Hotel,0,21,2016,July,31,27,0,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,187.0,0,1,Check-Out,2016-07-29,train
3698,Resort Hotel,1,255,2017,July,31,30,2,4,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,183.6,0,0,Canceled,2017-02-04,train
3699,City Hotel,1,69,2017,March,10,10,0,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,1,Canceled,2017-01-04,train
3700,City Hotel,0,161,2016,May,20,9,1,3,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,72.07,0,0,Check-Out,2016-05-13,train
3701,Resort Hotel,0,167,2017,June,24,14,2,5,3,0.0,0,BB,IRL,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,167.0,0,0,Check-Out,2017-06-21,train
3702,Resort Hotel,0,0,2015,November,45,7,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,52.4,1,1,Check-Out,2015-11-08,train
3703,Resort Hotel,1,143,2016,April,18,24,2,2,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,68.0,,0,Transient,84.0,0,0,Canceled,2016-01-05,train
3704,City Hotel,0,457,2017,August,34,25,0,2,1,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,6.0,,0,Transient-Party,95.5,0,1,Check-Out,2017-08-27,train
3705,City Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,,0,Transient,170.0,0,0,Canceled,2016-12-21,train
3706,City Hotel,1,5,2016,August,34,15,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient,150.0,0,1,No-Show,2016-08-15,train
3707,City Hotel,1,37,2017,June,23,8,0,2,2,2.0,0,BB,OMN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,230.0,0,0,Canceled,2017-05-12,train
3708,City Hotel,0,77,2016,April,16,13,1,4,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,75.16,0,1,Check-Out,2016-04-18,train
3709,Resort Hotel,0,0,2016,December,51,13,0,0,2,0.0,0,BB,PRT,Direct,Direct,1,0,0,A,A,1,No Deposit,,,0,Transient,0.0,0,0,Check-Out,2016-12-13,train
3710,City Hotel,1,32,2017,May,21,26,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,,0,Transient,230.0,0,0,Canceled,2017-04-25,train
3711,City Hotel,0,29,2016,December,49,2,0,2,2,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,85.0,0,0,Check-Out,2016-12-04,train
3712,City Hotel,1,89,2016,March,13,25,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,105.3,0,1,Canceled,2016-03-21,train
3713,City Hotel,1,52,2017,March,11,13,1,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,56.0,,0,Transient,80.0,0,0,Canceled,2017-01-20,train
3714,Resort Hotel,0,241,2015,September,39,20,2,4,2,0.0,0,BB,PRT,Direct,Corporate,0,0,0,A,H,0,No Deposit,,246.0,0,Transient,74.0,0,0,Check-Out,2015-09-26,train
3715,Resort Hotel,0,164,2016,October,40,1,0,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,251.0,,0,Transient,72.0,0,0,Check-Out,2016-10-02,train
3716,Resort Hotel,0,95,2016,May,22,24,2,5,3,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,127.0,,0,Transient,100.42,0,0,Check-Out,2016-05-31,train
3717,City Hotel,1,56,2017,March,12,21,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,86.0,,0,Transient,85.0,0,0,Canceled,2017-01-24,train
3718,City Hotel,1,115,2016,March,13,20,2,0,1,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,41.0,,22,Transient,70.0,0,0,Canceled,2015-12-18,train
3719,City Hotel,1,51,2016,April,18,28,2,3,2,0.0,0,BB,GRC,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,,0,Transient-Party,116.1,0,0,Canceled,2016-03-09,train
3720,City Hotel,0,8,2016,February,9,22,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.0,0,0,Check-Out,2016-02-26,train
3721,City Hotel,1,15,2017,June,26,28,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,144.0,0,0,Canceled,2017-06-16,train
3722,City Hotel,1,342,2015,September,39,24,2,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2015-08-21,train
3723,City Hotel,0,1,2017,January,4,25,2,4,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,73.0,,0,Transient-Party,65.0,0,0,Check-Out,2017-01-31,train
3724,Resort Hotel,0,128,2017,May,20,18,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,E,1,No Deposit,243.0,,0,Transient,88.85,0,0,Check-Out,2017-05-25,train
3725,City Hotel,0,60,2016,November,47,18,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,75.0,0,0,Check-Out,2016-11-20,train
3726,Resort Hotel,0,8,2016,November,45,2,0,2,2,0.0,0,BB,PRT,Direct,Direct,1,0,1,D,E,0,No Deposit,250.0,,0,Transient,69.0,1,1,Check-Out,2016-11-04,train
3727,City Hotel,0,7,2016,December,50,9,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016-12-10,train
3728,City Hotel,0,327,2017,May,18,5,2,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,0,Check-Out,2017-05-09,train
3729,City Hotel,1,164,2016,August,35,24,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,76.46,0,0,Canceled,2016-05-31,train
3730,City Hotel,0,151,2016,January,4,19,0,2,1,0.0,0,BB,LVA,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,19.0,,63,Transient-Party,70.0,0,0,Check-Out,2016-01-21,train
3731,Resort Hotel,0,159,2017,June,23,10,0,1,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient-Party,80.0,0,1,Check-Out,2017-06-11,train
3732,City Hotel,0,80,2017,July,27,7,0,1,2,0.0,0,BB,DNK,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient-Party,108.0,0,1,Check-Out,2017-07-08,train
3733,City Hotel,0,83,2017,April,14,6,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,127.8,0,3,Check-Out,2017-04-10,train
3734,Resort Hotel,0,7,2017,March,9,2,1,3,2,0.0,0,BB,BEL,Groups,Corporate,0,0,0,A,A,0,No Deposit,,223.0,0,Transient-Party,37.0,1,0,Check-Out,2017-03-06,train
3735,Resort Hotel,0,388,2017,May,21,25,0,3,1,0.0,0,BB,CN,Groups,TA/TO,0,0,0,E,E,1,No Deposit,96.0,,0,Transient-Party,72.0,0,0,Check-Out,2017-05-28,train
3736,Resort Hotel,1,33,2017,June,23,7,1,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,140.0,0,1,Canceled,2017-05-05,train
3737,City Hotel,0,28,2016,October,41,3,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,133.75,0,1,Check-Out,2016-10-07,train
3738,City Hotel,1,136,2016,May,22,26,0,3,2,2.0,0,BB,AUT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,198.9,0,0,Canceled,2016-01-30,train
